# _tick,_time,frames,mean_episode_return_landlord,loss_landlord,mean_episode_return_landlord_up,loss_landlord_up,mean_episode_return_landlord_down,loss_landlord_down,mean_episode_return_bidding,loss_bidding
45,1708663593.9441886,72000,-0.09744974225759506,0.01776835136115551,0.09695055335760117,0.022422349080443382,0.09689982235431671,0.024524826556444168,-0.22991761565208435,0.41372016072273254
46,1708663596.532567,73600,-0.09744974225759506,0.01776835136115551,0.09695055335760117,0.022422349080443382,0.09689982235431671,0.024524826556444168,-0.23794694244861603,0.45858702063560486
47,1708663596.8845248,75200,-0.09744974225759506,0.01776835136115551,0.09695055335760117,0.022422349080443382,0.09756921976804733,0.024910572916269302,-0.23794694244861603,0.45858702063560486
48,1708663599.3861625,76800,-0.09744974225759506,0.01776835136115551,0.09794928133487701,0.023767570033669472,0.09756921976804733,0.024910572916269302,-0.23794694244861603,0.45858702063560486
49,1708663604.4587445,78400,-0.09783442318439484,0.01639941707253456,0.09794928133487701,0.023767570033669472,0.09756921976804733,0.024910572916269302,-0.23794694244861603,0.45858702063560486
50,1708663607.7184317,80000,-0.09783442318439484,0.01639941707253456,0.09794928133487701,0.023767570033669472,0.09729348123073578,0.023707522079348564,-0.23794694244861603,0.45858702063560486
51,1708663610.3137856,81600,-0.09783442318439484,0.01639941707253456,0.09729994833469391,0.02163444086909294,0.09729348123073578,0.023707522079348564,-0.23794694244861603,0.45858702063560486
52,1708663614.911832,83200,-0.09703823924064636,0.01826999895274639,0.09729994833469391,0.02163444086909294,0.09729348123073578,0.023707522079348564,-0.23794694244861603,0.45858702063560486
53,1708663618.2887208,84800,-0.09703823924064636,0.01826999895274639,0.09729994833469391,0.02163444086909294,0.09696701169013977,0.02258376032114029,-0.23794694244861603,0.45858702063560486
54,1708663621.0965428,86400,-0.09703823924064636,0.01826999895274639,0.09689552336931229,0.021059956401586533,0.09696701169013977,0.02258376032114029,-0.23794694244861603,0.45858702063560486
55,1708663625.4399607,88000,-0.09621147066354752,0.018508080393075943,0.09689552336931229,0.021059956401586533,0.09696701169013977,0.02258376032114029,-0.23794694244861603,0.45858702063560486
56,1708663629.1070168,89600,-0.09621147066354752,0.018508080393075943,0.09689552336931229,0.021059956401586533,0.09657098352909088,0.022584466263651848,-0.23794694244861603,0.45858702063560486
57,1708663631.8564198,91200,-0.09621147066354752,0.018508080393075943,0.09670008718967438,0.021384915336966515,0.09657098352909088,0.022584466263651848,-0.23794694244861603,0.45858702063560486
58,1708663635.6474123,92800,-0.09621147066354752,0.018508080393075943,0.09670008718967438,0.021384915336966515,0.09657098352909088,0.022584466263651848,-0.22927676141262054,0.3878394365310669
59,1708663635.990645,94400,-0.09687896817922592,0.016412721946835518,0.09670008718967438,0.021384915336966515,0.09657098352909088,0.022584466263651848,-0.22927676141262054,0.3878394365310669
60,1708663639.7212873,96000,-0.09687896817922592,0.016412721946835518,0.09670008718967438,0.021384915336966515,0.09653808921575546,0.02286168932914734,-0.22927676141262054,0.3878394365310669
61,1708663642.6792035,97600,-0.09687896817922592,0.016412721946835518,0.09699510037899017,0.020895518362522125,0.09653808921575546,0.02286168932914734,-0.22927676141262054,0.3878394365310669
62,1708663646.4291947,99200,-0.09732142090797424,0.016216231510043144,0.09699510037899017,0.020895518362522125,0.09653808921575546,0.02286168932914734,-0.22927676141262054,0.3878394365310669
63,1708663650.3485637,100800,-0.09732142090797424,0.016216231510043144,0.09699510037899017,0.020895518362522125,0.09701867401599884,0.02098938822746277,-0.22927676141262054,0.3878394365310669
64,1708663653.5159392,102400,-0.09732142090797424,0.016216231510043144,0.0966203361749649,0.019995277747511864,0.09701867401599884,0.02098938822746277,-0.22927676141262054,0.3878394365310669
65,1708663657.0787563,104000,-0.09614547342061996,0.01931568793952465,0.0966203361749649,0.019995277747511864,0.09701867401599884,0.02098938822746277,-0.22927676141262054,0.3878394365310669
66,1708663661.1195946,105600,-0.09614547342061996,0.01931568793952465,0.0966203361749649,0.019995277747511864,0.09649113565683365,0.020330674946308136,-0.22927676141262054,0.3878394365310669
67,1708663664.5058403,107200,-0.09614547342061996,0.01931568793952465,0.09628523141145706,0.019644301384687424,0.09649113565683365,0.020330674946308136,-0.22927676141262054,0.3878394365310669
68,1708663667.5506518,108800,-0.0963275358080864,0.016618577763438225,0.09628523141145706,0.019644301384687424,0.09649113565683365,0.020330674946308136,-0.22927676141262054,0.3878394365310669
69,1708663671.9621944,110400,-0.0963275358080864,0.016618577763438225,0.09628523141145706,0.019644301384687424,0.09617065638303757,0.021188514307141304,-0.22927676141262054,0.3878394365310669
70,1708663674.628833,112000,-0.0963275358080864,0.016618577763438225,0.09628523141145706,0.019644301384687424,0.09617065638303757,0.021188514307141304,-0.22825977206230164,0.39155149459838867
71,1708663675.6058817,113600,-0.0963275358080864,0.016618577763438225,0.0960972011089325,0.020199593156576157,0.09617065638303757,0.021188514307141304,-0.22825977206230164,0.39155149459838867
72,1708663678.1763227,115200,-0.09612444043159485,0.017487408593297005,0.0960972011089325,0.020199593156576157,0.09617065638303757,0.021188514307141304,-0.22825977206230164,0.39155149459838867
73,1708663682.7478411,116800,-0.09612444043159485,0.017487408593297005,0.0960972011089325,0.020199593156576157,0.0958249494433403,0.021455930545926094,-0.22825977206230164,0.39155149459838867
74,1708663686.344831,118400,-0.09612444043159485,0.017487408593297005,0.09563811123371124,0.02006787806749344,0.0958249494433403,0.021455930545926094,-0.22825977206230164,0.39155149459838867
